Município;Dose;Total Doses Aplicadas
SANTA LÚCIA;ADICIONAL;5026
SANTA ISABEL;ADICIONAL;34836
SANTA GERTRUDES;ADICIONAL;11722
SANTA FÉ DO SUL;ADICIONAL;22936
SANTA ERNESTINA;ADICIONAL;4165
SANTA CRUZ DO RIO PARDO;ADICIONAL;32833
SANTA CRUZ DAS PALMEIRAS;ADICIONAL;18052
SANTA CRUZ DA ESPERANÇA;ADICIONAL;1513
SANTA CRUZ DA CONCEIÇÃO;ADICIONAL;3764
SANTA CLARA D'OESTE;ADICIONAL;2051
SANTA BRANCA;ADICIONAL;8911
SANTA BÁRBARA D'OESTE;ADICIONAL;104682
SANTA ALBERTINA;ADICIONAL;4885
SANTA ADÉLIA;ADICIONAL;10028
SANDOVALINA;ADICIONAL;2609
SALTO GRANDE;ADICIONAL;5769
SALTO DE PIRAPORA;ADICIONAL;27108
SALTO;ADICIONAL;73292
SALTINHO;ADICIONAL;5269
SALMOURÃO;ADICIONAL;3396
SALESÓPOLIS;ADICIONAL;11045
SALES OLIVEIRA;ADICIONAL;7275
SALES;ADICIONAL;4220
SAGRES;ADICIONAL;1546
SABINO;ADICIONAL;3998
RUBINÉIA;ADICIONAL;2526
RUBIÁCEA;ADICIONAL;2009
ROSEIRA;ADICIONAL;6276
ROSANA;ADICIONAL;11591
RIVERSUL;ADICIONAL;4790
RIOLÂNDIA;ADICIONAL;6953
RIO GRANDE DA SERRA;ADICIONAL;19012
RIO DAS PEDRAS;ADICIONAL;17188
RIO CLARO;ADICIONAL;122075
RINÓPOLIS;ADICIONAL;5307
RINCÃO;ADICIONAL;6904
RIFAINA;ADICIONAL;2999
RIBEIRÃO PRETO;ADICIONAL;444026
RIBEIRÃO PIRES;ADICIONAL;75296
RIBEIRÃO GRANDE;ADICIONAL;5896
RIBEIRÃO DOS ÍNDIOS;ADICIONAL;1906
RIBEIRÃO DO SUL;ADICIONAL;4092
RIBEIRÃO CORRENTE;ADICIONAL;2593
RIBEIRÃO BRANCO;ADICIONAL;11538
RIBEIRÃO BONITO;ADICIONAL;8116
RIBEIRA;ADICIONAL;2537
RESTINGA;ADICIONAL;4579
REGISTRO;ADICIONAL;35255
REGINÓPOLIS;ADICIONAL;7756
REGENTE FEIJÓ;ADICIONAL;13795
REDENÇÃO DA SERRA;ADICIONAL;2875
RANCHARIA;ADICIONAL;19952
RAFARD;ADICIONAL;5890
QUINTANA;ADICIONAL;4446
QUELUZ;ADICIONAL;4914
QUEIROZ;ADICIONAL;2157
QUATÁ;ADICIONAL;8784
QUADRA;ADICIONAL;2708
PROMISSÃO;ADICIONAL;23749
PRESIDENTE VENCESLAU;ADICIONAL;21477
PRESIDENTE PRUDENTE;ADICIONAL;144447
PRESIDENTE EPITÁCIO;ADICIONAL;22935
PRESIDENTE BERNARDES;ADICIONAL;11755
PRESIDENTE ALVES;ADICIONAL;3049
PRATÂNIA;ADICIONAL;3420
PRAIA GRANDE;ADICIONAL;187416
PRADÓPOLIS;ADICIONAL;11791
PRACINHA;ADICIONAL;2720
POTIRENDABA;ADICIONAL;11170
POTIM;ADICIONAL;11454
PORTO FERREIRA;ADICIONAL;34828
PORTO FELIZ;ADICIONAL;32058
PORANGABA;ADICIONAL;7125
POPULINA;ADICIONAL;3513
PONTES GESTAL;ADICIONAL;1926
PONTALINDA;ADICIONAL;2668
PONTAL;ADICIONAL;23914
PONGAÍ;ADICIONAL;2630
POMPÉIA;ADICIONAL;12980
POLONI;ADICIONAL;4828
POÁ;ADICIONAL;62612
PLATINA;ADICIONAL;2259
PLANALTO;ADICIONAL;3157
PITANGUEIRAS;ADICIONAL;21643
PIRATININGA;ADICIONAL;9330
PIRASSUNUNGA;ADICIONAL;45112
PIRAPOZINHO;ADICIONAL;17182
PIRAPORA DO BOM JESUS;ADICIONAL;10021
PIRANGI;ADICIONAL;7675
PIRAJUÍ;ADICIONAL;14209
PIRAJU;ADICIONAL;19875
PIRACICABA;ADICIONAL;248475
PIRACAIA;ADICIONAL;19108
PIQUETE;ADICIONAL;8281
PIQUEROBI;ADICIONAL;2192
PINHALZINHO;ADICIONAL;10362
PINDORAMA;ADICIONAL;9640
PINDAMONHANGABA;ADICIONAL;94293
PILAR DO SUL;ADICIONAL;20258
PIEDADE;ADICIONAL;35092
PIACATU;ADICIONAL;3332
PERUÍBE;ADICIONAL;46358
PEREIRAS;ADICIONAL;5716
PEREIRA BARRETO;ADICIONAL;17127
PENÁPOLIS;ADICIONAL;37086
PEDRO DE TOLEDO;ADICIONAL;5739
PEDRINHAS PAULISTA;ADICIONAL;2356
PEDREIRA;ADICIONAL;28890
PEDREGULHO;ADICIONAL;10563
PEDRANÓPOLIS;ADICIONAL;2279
PEDRA BELA;ADICIONAL;5094
PEDERNEIRAS;ADICIONAL;24809
PAULO DE FARIA;ADICIONAL;6166
PAULISTÂNIA;ADICIONAL;1633
PAULÍNIA;ADICIONAL;68433
PAULICÉIA;ADICIONAL;4432
PATROCÍNIO PAULISTA;ADICIONAL;8991
PARISI;ADICIONAL;2724
PARIQUERA-AÇU;ADICIONAL;12357
PARDINHO;ADICIONAL;4318
PARAPUÃ;ADICIONAL;6896
PARANAPUÃ;ADICIONAL;2834
PARANAPANEMA;ADICIONAL;13582
PARAÍSO;ADICIONAL;4400
PARAIBUNA;ADICIONAL;9877
PARAGUAÇU PAULISTA;ADICIONAL;27725
PANORAMA;ADICIONAL;8638
PALMITAL;ADICIONAL;16609
PALMEIRA D'OESTE;ADICIONAL;8398
PALMARES PAULISTA;ADICIONAL;6302
PALESTINA;ADICIONAL;7478
PACAEMBU;ADICIONAL;12427
OUROESTE;ADICIONAL;7645
OURO VERDE;ADICIONAL;4553
OURINHOS;ADICIONAL;60277
OSVALDO CRUZ;ADICIONAL;21760
OSCAR BRESSANE;ADICIONAL;2307
OSASCO;ADICIONAL;455207
ORLÂNDIA;ADICIONAL;26719
ORINDIÚVA;ADICIONAL;4801
ORIENTE;ADICIONAL;4099
ONDA VERDE;ADICIONAL;2975
OLÍMPIA;ADICIONAL;35006
ÓLEO;ADICIONAL;2002
OCAUÇU;ADICIONAL;3393
NUPORANGA;ADICIONAL;5100
NOVO HORIZONTE;ADICIONAL;25189
NOVAIS;ADICIONAL;1879
NOVA ODESSA;ADICIONAL;33144
NOVA LUZITÂNIA;ADICIONAL;2170
NOVA INDEPENDÊNCIA;ADICIONAL;4403
NOVA GUATAPORANGA;ADICIONAL;1750
NOVA GRANADA;ADICIONAL;13970
NOVA EUROPA;ADICIONAL;6923
NOVA CASTILHO;ADICIONAL;892
NOVA CANAÃ PAULISTA;ADICIONAL;1623
NOVA CAMPINA;ADICIONAL;7357
NOVA ALIANÇA;ADICIONAL;4875
NIPOÃ;ADICIONAL;3031
NHANDEARA;ADICIONAL;7155
NEVES PAULISTA;ADICIONAL;7524
NAZARÉ PAULISTA;ADICIONAL;11564
NATIVIDADE DA SERRA;ADICIONAL;3619
NARANDIBA;ADICIONAL;3984
NÃO INFORMADO;ADICIONAL;1379
NANTES;ADICIONAL;1855
MURUTINGA DO SUL;ADICIONAL;3294
MOTUCA;ADICIONAL;3124
MORUNGABA;ADICIONAL;9729
MORRO AGUDO;ADICIONAL;17688
MONTEIRO LOBATO;ADICIONAL;2753
MONTE MOR;ADICIONAL;30631
MONTE CASTELO;ADICIONAL;2882
MONTE AZUL PAULISTA;ADICIONAL;12457
MONTE APRAZÍVEL;ADICIONAL;15675
MONTE ALTO;ADICIONAL;34586
MONTE ALEGRE DO SUL;ADICIONAL;5432
MONGAGUÁ;ADICIONAL;33981
MONÇÕES;ADICIONAL;1800
MOMBUCA;ADICIONAL;2149
MOGI MIRIM;ADICIONAL;60437
MOGI GUAÇU;ADICIONAL;82620
MOGI DAS CRUZES;ADICIONAL;278028
MOCOCA;ADICIONAL;48569
MIRASSOLÂNDIA;ADICIONAL;3649
MIRASSOL;ADICIONAL;36619
MIRANTE DO PARANAPANEMA;ADICIONAL;10884
MIRANDÓPOLIS;ADICIONAL;18432
MIRACATU;ADICIONAL;9764
MIRA ESTRELA;ADICIONAL;2583
MINEIROS DO TIETÊ;ADICIONAL;8202
MIGUELÓPOLIS;ADICIONAL;13421
MESÓPOLIS;ADICIONAL;1438
MERIDIANO;ADICIONAL;3190
MENDONÇA;ADICIONAL;4215
MAUÁ;ADICIONAL;266608
MATÃO;ADICIONAL;54372
MARTINÓPOLIS;ADICIONAL;17725
MARINÓPOLIS;ADICIONAL;1801
MARÍLIA;ADICIONAL;139133
MARIÁPOLIS;ADICIONAL;2713
MARAPOAMA;ADICIONAL;2103
MARACAÍ;ADICIONAL;8960
MARABÁ PAULISTA;ADICIONAL;3935
MANDURI;ADICIONAL;7567
MAIRIPORÃ;ADICIONAL;53065
MAIRINQUE;ADICIONAL;32786
MAGDA;ADICIONAL;2217
MACEDÔNIA;ADICIONAL;3311
MACAUBAL;ADICIONAL;5195
MACATUBA;ADICIONAL;10195
LUTÉCIA;ADICIONAL;2074
LUPÉRCIO;ADICIONAL;2530
LUIZIÂNIA;ADICIONAL;2977
LUÍS ANTÔNIO;ADICIONAL;7339
LUCIANÓPOLIS;ADICIONAL;1916
LUCÉLIA;ADICIONAL;14374
LOUVEIRA;ADICIONAL;30360
LOURDES;ADICIONAL;1822
LORENA;ADICIONAL;46981
LINS;ADICIONAL;50994
LINDÓIA;ADICIONAL;4639
LIMEIRA;ADICIONAL;145049
LENÇÓIS PAULISTA;ADICIONAL;35113
LEME;ADICIONAL;59786
LAVRINHAS;ADICIONAL;3524
LAVÍNIA;ADICIONAL;9461
LARANJAL PAULISTA;ADICIONAL;18301
LAGOINHA;ADICIONAL;5067
JUQUITIBA;ADICIONAL;15605
JUQUIÁ;ADICIONAL;9798
JUNQUEIRÓPOLIS;ADICIONAL;13910
JUNDIAÍ;ADICIONAL;296266
JUMIRIM;ADICIONAL;2307
JÚLIO MESQUITA;ADICIONAL;2722
JOSÉ BONIFÁCIO;ADICIONAL;23496
JOÃO RAMALHO;ADICIONAL;2793
JOANÓPOLIS;ADICIONAL;8417
JERIQUARA;ADICIONAL;2091
JAÚ;ADICIONAL;75456
JARINU;ADICIONAL;17842
JARDINÓPOLIS;ADICIONAL;24875
JANDIRA;ADICIONAL;59579
JAMBEIRO;ADICIONAL;3988
JALES;ADICIONAL;30654
JAGUARIÚNA;ADICIONAL;33027
JACUPIRANGA;ADICIONAL;7423
JACI;ADICIONAL;5088
JACAREÍ;ADICIONAL;131379
JABOTICABAL;ADICIONAL;51805
JABORANDI;ADICIONAL;4622
ITUVERAVA;ADICIONAL;27673
ITUPEVA;ADICIONAL;35013
ITU;ADICIONAL;108494
ITOBI;ADICIONAL;5022
ITIRAPUÃ;ADICIONAL;3805
ITIRAPINA;ADICIONAL;10014
ITATINGA;ADICIONAL;13336
ITATIBA;ADICIONAL;70902
ITARIRI;ADICIONAL;7670
ITARARÉ;ADICIONAL;30940
ITAQUAQUECETUBA;ADICIONAL;175026
ITAPURA;ADICIONAL;2751
ITAPUÍ;ADICIONAL;8355
ITAPORANGA;ADICIONAL;10512
ITÁPOLIS;ADICIONAL;25095
ITAPIRAPUÃ PAULISTA;ADICIONAL;3221
ITAPIRA;ADICIONAL;51762
ITAPEVI;ADICIONAL;102962
ITAPEVA;ADICIONAL;61967
ITAPETININGA;ADICIONAL;103190
ITAPECERICA DA SERRA;ADICIONAL;87127
ITAOCA;ADICIONAL;3113
ITANHAÉM;ADICIONAL;75759
ITAJU;ADICIONAL;2073
ITAJOBI;ADICIONAL;10400
ITAÍ;ADICIONAL;18927
ITABERÁ;ADICIONAL;15005
IRAPURU;ADICIONAL;6187
IRAPUÃ;ADICIONAL;4670
IRACEMÁPOLIS;ADICIONAL;12325
IPUÃ;ADICIONAL;9384
IPORANGA;ADICIONAL;2375
IPIGUÁ;ADICIONAL;3763
IPEÚNA;ADICIONAL;3400
IPERÓ;ADICIONAL;20520
IPAUSSU;ADICIONAL;7942
INÚBIA PAULISTA;ADICIONAL;2788
INDIAPORÃ;ADICIONAL;3310
INDIANA;ADICIONAL;3219
INDAIATUBA;ADICIONAL;201349
ILHABELA;ADICIONAL;20032
ILHA SOLTEIRA;ADICIONAL;19607
ILHA COMPRIDA;ADICIONAL;9989
IGUAPE;ADICIONAL;18996
IGARATÁ;ADICIONAL;7370
IGARAPAVA;ADICIONAL;17980
IGARAÇU DO TIETÊ;ADICIONAL;15879
IEPÊ;ADICIONAL;5914
ICÉM;ADICIONAL;5663
IBIÚNA;ADICIONAL;40029
IBITINGA;ADICIONAL;36961
IBIRAREMA;ADICIONAL;4549
IBIRÁ;ADICIONAL;8036
IBATÉ;ADICIONAL;19148
IARAS;ADICIONAL;7207
IACRI;ADICIONAL;4320
IACANGA;ADICIONAL;8316
HORTOLÂNDIA;ADICIONAL;118000
HOLAMBRA;ADICIONAL;9812
HERCULÂNDIA;ADICIONAL;4426
GUZOLÂNDIA;ADICIONAL;3207
GUATAPARÁ;ADICIONAL;5529
GUARULHOS;ADICIONAL;731503
GUARUJÁ;ADICIONAL;157102
GUARIBA;ADICIONAL;24565
GUAREÍ;ADICIONAL;10317
GUARATINGUETÁ;ADICIONAL;67481
GUARAREMA;ADICIONAL;22377
GUARARAPES;ADICIONAL;21870
GUARANTÃ;ADICIONAL;4178
GUARANI D'OESTE;ADICIONAL;1716
GUARACI;ADICIONAL;7517
GUARAÇAÍ;ADICIONAL;5202
GUARÁ;ADICIONAL;13034
GUAPIARA;ADICIONAL;11906
GUAPIAÇU;ADICIONAL;13721
GUAÍRA;ADICIONAL;30068
GUAIMBÊ;ADICIONAL;4026
GUAIÇARA;ADICIONAL;7350
GLICÉRIO;ADICIONAL;2987
GETULINA;ADICIONAL;7217
GENERAL SALGADO;ADICIONAL;6978
GAVIÃO PEIXOTO;ADICIONAL;3452
GASTÃO VIDIGAL;ADICIONAL;2572
GARÇA;ADICIONAL;26938
GÁLIA;ADICIONAL;5758
GABRIEL MONTEIRO;ADICIONAL;2301
FRANCO DA ROCHA;ADICIONAL;90727
FRANCISCO MORATO;ADICIONAL;88703
FRANCA;ADICIONAL;189125
FLORÍNEA;ADICIONAL;3455
FLÓRIDA PAULISTA;ADICIONAL;9056
FLOREAL;ADICIONAL;2475
FLORA RICA;ADICIONAL;1315
FERRAZ DE VASCONCELOS;ADICIONAL;89087
FERNÃO;ADICIONAL;1603
FERNANDÓPOLIS;ADICIONAL;52099
FERNANDO PRESTES;ADICIONAL;4910
FARTURA;ADICIONAL;11745
EUCLIDES DA CUNHA PAULISTA;ADICIONAL;5434
ESTRELA DO NORTE;ADICIONAL;2114
ESTRELA D'OESTE;ADICIONAL;6886
ESTIVA GERBI;ADICIONAL;6051
ESPÍRITO SANTO DO TURVO;ADICIONAL;2837
ESPÍRITO SANTO DO PINHAL;ADICIONAL;26164
ENGENHEIRO COELHO;ADICIONAL;8463
EMILIANÓPOLIS;ADICIONAL;2137
EMBU-GUAÇU;ADICIONAL;38790
EMBU DAS ARTES;ADICIONAL;150716
EMBAÚBA;ADICIONAL;1553
ELISIÁRIO;ADICIONAL;2452
ELIAS FAUSTO;ADICIONAL;10988
ELDORADO;ADICIONAL;6233
ECHAPORÃ;ADICIONAL;4462
DUMONT;ADICIONAL;6554
DUARTINA;ADICIONAL;10962
DRACENA;ADICIONAL;27936
DOURADO;ADICIONAL;6423
DOLCINÓPOLIS;ADICIONAL;2081
DOIS CÓRREGOS;ADICIONAL;15151
DOBRADA;ADICIONAL;5208
DIVINOLÂNDIA;ADICIONAL;9382
DIRCE REIS;ADICIONAL;1632
DIADEMA;ADICIONAL;249832
DESCALVADO;ADICIONAL;24117
CUNHA;ADICIONAL;13728
CUBATÃO;ADICIONAL;63592
CRUZEIRO;ADICIONAL;47088
CRUZÁLIA;ADICIONAL;1806
CRISTAIS PAULISTA;ADICIONAL;5758
CRAVINHOS;ADICIONAL;19318
COTIA;ADICIONAL;147386
COSMORAMA;ADICIONAL;6205
COSMÓPOLIS;ADICIONAL;31721
CORUMBATAÍ;ADICIONAL;2402
CORONEL MACEDO;ADICIONAL;4234
COROADOS;ADICIONAL;3350
CORDEIRÓPOLIS;ADICIONAL;15889
CONCHAS;ADICIONAL;10722
CONCHAL;ADICIONAL;14352
COLÔMBIA;ADICIONAL;5400
COLINA;ADICIONAL;11267
CLEMENTINA;ADICIONAL;4745
CHAVANTES;ADICIONAL;8289
CHARQUEADA;ADICIONAL;9160
CESÁRIO LANGE;ADICIONAL;11114
CERQUILHO;ADICIONAL;32229
CERQUEIRA CÉSAR;ADICIONAL;17032
CEDRAL;ADICIONAL;6698
CATIGUÁ;ADICIONAL;5246
CATANDUVA;ADICIONAL;69864
CASTILHO;ADICIONAL;13538
CÁSSIA DOS COQUEIROS;ADICIONAL;2249
CASA BRANCA;ADICIONAL;17149
CARDOSO;ADICIONAL;9108
CARAPICUÍBA;ADICIONAL;202156
CARAGUATATUBA;ADICIONAL;69254
CAPIVARI;ADICIONAL;29937
CAPELA DO ALTO;ADICIONAL;14293
CAPÃO BONITO;ADICIONAL;30298
CANITAR;ADICIONAL;3202
CÂNDIDO RODRIGUES;ADICIONAL;2744
CÂNDIDO MOTA;ADICIONAL;20060
CANAS;ADICIONAL;2074
CANANÉIA;ADICIONAL;7591
CAMPOS NOVOS PAULISTA;ADICIONAL;3230
CAMPOS DO JORDÃO;ADICIONAL;28731
CAMPO LIMPO PAULISTA;ADICIONAL;42281
CAMPINAS;ADICIONAL;719806
CAMPINA DO MONTE ALEGRE;ADICIONAL;4488
CAJURU;ADICIONAL;14781
CAJOBI;ADICIONAL;7054
CAJATI;ADICIONAL;14476
CAJAMAR;ADICIONAL;55164
CAIUÁ;ADICIONAL;5210
CAIEIRAS;ADICIONAL;62558
CAIABU;ADICIONAL;2390
CAFELÂNDIA;ADICIONAL;11076
CACONDE;ADICIONAL;11504
CACHOEIRA PAULISTA;ADICIONAL;17118
CAÇAPAVA;ADICIONAL;56698
CABREÚVA;ADICIONAL;24905
CABRÁLIA PAULISTA;ADICIONAL;2811
BURITIZAL;ADICIONAL;2819
BURITAMA;ADICIONAL;12555
BURI;ADICIONAL;11368
BROTAS;ADICIONAL;14429
BRODOWSKI;ADICIONAL;16191
BREJO ALEGRE;ADICIONAL;1631
BRAÚNA;ADICIONAL;3197
BRAGANÇA PAULISTA;ADICIONAL;123045
BOTUCATU;ADICIONAL;138530
BOREBI;ADICIONAL;1068
BORBOREMA;ADICIONAL;9924
BORACÉIA;ADICIONAL;2852
BORÁ;ADICIONAL;529
BOM SUCESSO DE ITARARÉ;ADICIONAL;2858
BOM JESUS DOS PERDÕES;ADICIONAL;13975
BOITUVA;ADICIONAL;34667
BOFETE;ADICIONAL;7045
BOCAINA;ADICIONAL;8215
BOA ESPERANÇA DO SUL;ADICIONAL;9128
BIRITIBA MIRIM;ADICIONAL;16681
BIRIGUI;ADICIONAL;68082
BILAC;ADICIONAL;5443
BERTIOGA;ADICIONAL;32385
BERNARDINO DE CAMPOS;ADICIONAL;9047
BENTO DE ABREU;ADICIONAL;2048
BEBEDOURO;ADICIONAL;48863
BAURU;ADICIONAL;223466
BATATAIS;ADICIONAL;47763
BASTOS;ADICIONAL;15871
BARUERI;ADICIONAL;170727
BARRINHA;ADICIONAL;17083
BARRETOS;ADICIONAL;82191
BARRA DO TURVO;ADICIONAL;3377
BARRA DO CHAPÉU;ADICIONAL;3360
BARRA BONITA;ADICIONAL;27312
BARIRI;ADICIONAL;18421
BARBOSA;ADICIONAL;4167
BARÃO DE ANTONINA;ADICIONAL;2692
BANANAL;ADICIONAL;6134
BÁLSAMO;ADICIONAL;6314
BALBINOS;ADICIONAL;4380
BADY BASSITT;ADICIONAL;11305
AVARÉ;ADICIONAL;64310
AVANHANDAVA;ADICIONAL;7171
AVAÍ;ADICIONAL;3868
AURIFLAMA;ADICIONAL;8772
ATIBAIA;ADICIONAL;102041
ASSIS;ADICIONAL;61643
ASPÁSIA;ADICIONAL;1349
ARUJÁ;ADICIONAL;49094
ARTUR NOGUEIRA;ADICIONAL;28245
ARIRANHA;ADICIONAL;6046
AREIÓPOLIS;ADICIONAL;5960
AREIAS;ADICIONAL;2461
AREALVA;ADICIONAL;6206
ARCO-ÍRIS;ADICIONAL;1789
ARARAS;ADICIONAL;87558
ARARAQUARA;ADICIONAL;159126
ARAPEÍ;ADICIONAL;1512
ARANDU;ADICIONAL;4895
ARAMINA;ADICIONAL;4256
ARAÇOIABA DA SERRA;ADICIONAL;23465
ARAÇATUBA;ADICIONAL;120988
ARAÇARIGUAMA;ADICIONAL;10873
APIAÍ;ADICIONAL;15537
APARECIDA D'OESTE;ADICIONAL;3804
APARECIDA;ADICIONAL;18680
ANHUMAS;ADICIONAL;2404
ANHEMBI;ADICIONAL;4143
ANGATUBA;ADICIONAL;13891
ANDRADINA;ADICIONAL;37774
ANALÂNDIA;ADICIONAL;2530
AMPARO;ADICIONAL;48174
AMÉRICO DE CAMPOS;ADICIONAL;4733
AMÉRICO BRASILIENSE;ADICIONAL;22123
AMERICANA;ADICIONAL;127860
ALVINLÂNDIA;ADICIONAL;2111
ÁLVARO DE CARVALHO;ADICIONAL;4892
ÁLVARES MACHADO;ADICIONAL;15766
ÁLVARES FLORENCE;ADICIONAL;3091
ALUMÍNIO;ADICIONAL;11702
ALTO ALEGRE;ADICIONAL;2788
ALTINÓPOLIS;ADICIONAL;12043
ALTAIR;ADICIONAL;2943
ALFREDO MARCONDES;ADICIONAL;3850
ALAMBARI;ADICIONAL;3957
AGUDOS;ADICIONAL;20939
ÁGUAS DE SÃO PEDRO;ADICIONAL;4035
ÁGUAS DE SANTA BÁRBARA;ADICIONAL;3918
ÁGUAS DE LINDÓIA;ADICIONAL;12305
ÁGUAS DA PRATA;ADICIONAL;5731
AGUAÍ;ADICIONAL;21880
ADOLFO;ADICIONAL;3858
ADAMANTINA;ADICIONAL;24944
ZACARIAS;2° DOSE;2277
VOTUPORANGA;2° DOSE;83364
VOTORANTIM;2° DOSE;93230
VITÓRIA BRASIL;2° DOSE;1622
VISTA ALEGRE DO ALTO;2° DOSE;6964
VIRADOURO;2° DOSE;15899
VINHEDO;2° DOSE;66302
VERA CRUZ;2° DOSE;8708
VÁRZEA PAULISTA;2° DOSE;93672
VARGEM GRANDE PAULISTA;2° DOSE;41812
VARGEM GRANDE DO SUL;2° DOSE;35410
VARGEM;2° DOSE;8610
VALPARAÍSO;2° DOSE;20884
VALINHOS;2° DOSE;104958
VALENTIM GENTIL;2° DOSE;12043
URUPÊS;2° DOSE;12078
URU;2° DOSE;1312
URÂNIA;2° DOSE;7643
UNIÃO PAULISTA;2° DOSE;1537
UCHOA;2° DOSE;8847
UBIRAJARA;2° DOSE;4458
UBATUBA;2° DOSE;76842
UBARANA;2° DOSE;4949
TURMALINA;2° DOSE;1790
TURIÚBA;2° DOSE;1735
TUPI PAULISTA;2° DOSE;14368
TUPÃ;2° DOSE;55706
TUIUTI;2° DOSE;5814
TRÊS FRONTEIRAS;2° DOSE;5706
TREMEMBÉ;2° DOSE;42440
TRABIJU;2° DOSE;1592
TORRINHA;2° DOSE;8370
TORRE DE PEDRA;2° DOSE;2537
TIMBURI;2° DOSE;2436
TIETÊ;2° DOSE;32999
TERRA ROXA;2° DOSE;7004
TEODORO SAMPAIO;2° DOSE;19277
TEJUPÁ;2° DOSE;3781
TAUBATÉ;2° DOSE;259728
TATUÍ;2° DOSE;103348
TARUMÃ;2° DOSE;12570
TARABAI;2° DOSE;6040
TAQUARIVAÍ;2° DOSE;5488
TAQUARITUBA;2° DOSE;22609
TAQUARITINGA;2° DOSE;46854
TAQUARAL;2° DOSE;2482
TAPIRATIBA;2° DOSE;11199
TAPIRAÍ;2° DOSE;7086
TANABI;2° DOSE;22300
TAMBAÚ;2° DOSE;18203
TAIÚVA;2° DOSE;6034
TAIAÇU;2° DOSE;5254
TAGUAÍ;2° DOSE;11450
TACIBA;2° DOSE;5191
TABOÃO DA SERRA;2° DOSE;231280
TABATINGA;2° DOSE;12620
TABAPUÃ;2° DOSE;10261
SUZANO;2° DOSE;248337
SUZANÁPOLIS;2° DOSE;3115
SUMARÉ;2° DOSE;232565
SUD MENNUCCI;2° DOSE;6612
SOROCABA;2° DOSE;582644
SOCORRO;2° DOSE;35124
SILVEIRAS;2° DOSE;5658
SEVERÍNIA;2° DOSE;13105
SETE BARRAS;2° DOSE;10878
SERTÃOZINHO;2° DOSE;107163
SERRANA;2° DOSE;42421
SERRA NEGRA;2° DOSE;25045
SERRA AZUL;2° DOSE;12345
SEBASTIANÓPOLIS DO SUL;2° DOSE;3126
SARUTAIÁ;2° DOSE;3384
SARAPUÍ;2° DOSE;8514
SÃO VICENTE;2° DOSE;282059
SÃO SIMÃO;2° DOSE;12233
SÃO SEBASTIÃO DA GRAMA;2° DOSE;9422
SÃO SEBASTIÃO;2° DOSE;73959
SÃO ROQUE;2° DOSE;74093
SÃO PEDRO DO TURVO;2° DOSE;6397
SÃO PEDRO;2° DOSE;30881
SÃO PAULO;2° DOSE;11112982
SÃO MIGUEL ARCANJO;2° DOSE;28444
SÃO MANUEL;2° DOSE;32133
SÃO LUIZ DO PARAITINGA;2° DOSE;10095
SÃO LOURENÇO DA SERRA;2° DOSE;12853
SÃO JOSÉ DOS CAMPOS;2° DOSE;592186
SÃO JOSÉ DO RIO PRETO;2° DOSE;413724
SÃO JOSÉ DO RIO PARDO;2° DOSE;47040
SÃO JOSÉ DO BARREIRO;2° DOSE;3659
SÃO JOSÉ DA BELA VISTA;2° DOSE;6582
SÃO JOAQUIM DA BARRA;2° DOSE;41776
SÃO JOÃO DO PAU D'ALHO;2° DOSE;2010
SÃO JOÃO DE IRACEMA;2° DOSE;1657
SÃO JOÃO DAS DUAS PONTES;2° DOSE;2254
SÃO JOÃO DA BOA VISTA;2° DOSE;80261
SÃO FRANCISCO;2° DOSE;2568
SÃO CARLOS;2° DOSE;223655
SÃO CAETANO DO SUL;2° DOSE;141087
SÃO BERNARDO DO CAMPO;2° DOSE;689004
SÃO BENTO DO SAPUCAÍ;2° DOSE;10599
SANTOS;2° DOSE;382373
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;3415
SANTO EXPEDITO;2° DOSE;2663
SANTO ANTÔNIO DO PINHAL;2° DOSE;6367
SANTO ANTÔNIO DO JARDIM;2° DOSE;5428
SANTO ANTÔNIO DO ARACANGUÁ;2° DOSE;7030
SANTO ANTÔNIO DE POSSE;2° DOSE;19542
SANTO ANTÔNIO DA ALEGRIA;2° DOSE;6380
SANTO ANDRÉ;2° DOSE;596051
SANTO ANASTÁCIO;2° DOSE;15794
SANTANA DE PARNAÍBA;2° DOSE;132095
SANTANA DA PONTE PENSA;2° DOSE;1442
SANTA SALETE;2° DOSE;1554
SANTA ROSA DE VITERBO;2° DOSE;21492
SANTA RITA DO PASSA QUATRO;2° DOSE;22779
SANTA RITA D'OESTE;2° DOSE;2433
SANTA MERCEDES;2° DOSE;2758
SANTA MARIA DA SERRA;2° DOSE;4940
SANTA LÚCIA;2° DOSE;6493
SANTA ISABEL;2° DOSE;47382
SANTA GERTRUDES;2° DOSE;19477
SANTA FÉ DO SUL;2° DOSE;30281
SANTA ERNESTINA;2° DOSE;5223
SANTA CRUZ DO RIO PARDO;2° DOSE;41779
SANTA CRUZ DAS PALMEIRAS;2° DOSE;25238
SANTA CRUZ DA ESPERANÇA;2° DOSE;1892
SANTA CRUZ DA CONCEIÇÃO;2° DOSE;3860
SANTA CLARA D'OESTE;2° DOSE;2200
SANTA BRANCA;2° DOSE;11832
SANTA BÁRBARA D'OESTE;2° DOSE;152033
SANTA ALBERTINA;2° DOSE;5649
SANTA ADÉLIA;2° DOSE;12418
SANDOVALINA;2° DOSE;3349
SALTO GRANDE;2° DOSE;7465
